Pavarde                  Vardas                   Galutinis (Vid.)Galutinis (Med.)
Vardas1471               Pavarde1471              7.01           7.20           
Vardas1497               Pavarde1497              7.01           6.80           
Vardas1746               Pavarde1746              7.01           7.20           
Vardas2089               Pavarde2089              7.01           6.80           
Vardas2143               Pavarde2143              7.01           7.20           
Vardas2451               Pavarde2451              7.01           7.20           
Vardas2870               Pavarde2870              7.01           6.80           
Vardas3040               Pavarde3040              7.01           7.20           
Vardas3114               Pavarde3114              7.01           6.80           
Vardas3123               Pavarde3123              7.01           6.80           
Vardas3417               Pavarde3417              7.01           6.80           
Vardas3444               Pavarde3444              7.01           7.20           
Vardas3602               Pavarde3602              7.01           6.80           
Vardas3613               Pavarde3613              7.01           7.60           
Vardas3816               Pavarde3816              7.01           7.20           
Vardas4083               Pavarde4083              7.01           7.20           
Vardas4281               Pavarde4281              7.01           7.20           
Vardas4526               Pavarde4526              7.01           7.20           
Vardas4970               Pavarde4970              7.01           6.80           
Vardas5136               Pavarde5136              7.01           6.80           
Vardas5602               Pavarde5602              7.01           7.20           
Vardas5647               Pavarde5647              7.01           7.20           
Vardas5967               Pavarde5967              7.01           7.20           
Vardas6185               Pavarde6185              7.01           6.80           
Vardas6482               Pavarde6482              7.01           7.60           
Vardas7135               Pavarde7135              7.01           7.20           
Vardas7497               Pavarde7497              7.01           6.80           
Vardas7665               Pavarde7665              7.01           7.20           
Vardas8147               Pavarde8147              7.01           7.20           
Vardas8334               Pavarde8334              7.01           6.80           
Vardas8403               Pavarde8403              7.01           7.20           
Vardas8508               Pavarde8508              7.01           7.20           
Vardas8711               Pavarde8711              7.01           7.20           
Vardas9219               Pavarde9219              7.01           6.80           
Vardas9263               Pavarde9263              7.01           6.80           
Vardas4239               Pavarde4239              7.03           7.00           
Vardas6821               Pavarde6821              7.03           7.00           
Vardas7503               Pavarde7503              7.03           6.60           
Vardas1727               Pavarde1727              7.03           7.40           
Vardas2263               Pavarde2263              7.03           7.40           
Vardas5997               Pavarde5997              7.03           7.40           
Vardas136                Pavarde136               7.04           7.20           
Vardas260                Pavarde260               7.04           7.20           
Vardas329                Pavarde329               7.04           6.80           
Vardas622                Pavarde622               7.04           6.80           
Vardas833                Pavarde833               7.04           6.80           
Vardas1016               Pavarde1016              7.04           7.20           
Vardas1144               Pavarde1144              7.04           7.20           
Vardas1324               Pavarde1324              7.04           7.20           
Vardas1610               Pavarde1610              7.04           7.20           
Vardas1622               Pavarde1622              7.04           7.20           
Vardas1751               Pavarde1751              7.04           6.80           
Vardas1942               Pavarde1942              7.04           7.20           
Vardas2221               Pavarde2221              7.04           7.20           
Vardas2605               Pavarde2605              7.04           6.80           
Vardas2618               Pavarde2618              7.04           7.20           
Vardas2816               Pavarde2816              7.04           7.20           
Vardas3077               Pavarde3077              7.04           6.80           
Vardas3546               Pavarde3546              7.04           7.60           
Vardas4405               Pavarde4405              7.04           6.80           
Vardas4731               Pavarde4731              7.04           7.20           
Vardas4809               Pavarde4809              7.04           6.80           
Vardas5318               Pavarde5318              7.04           6.80           
Vardas5393               Pavarde5393              7.04           7.20           
Vardas5412               Pavarde5412              7.04           6.80           
Vardas5435               Pavarde5435              7.04           6.80           
Vardas5505               Pavarde5505              7.04           6.80           
Vardas5546               Pavarde5546              7.04           6.80           
Vardas5694               Pavarde5694              7.04           7.20           
Vardas5822               Pavarde5822              7.04           7.20           
Vardas5850               Pavarde5850              7.04           7.20           
Vardas5879               Pavarde5879              7.04           6.80           
Vardas6351               Pavarde6351              7.04           7.20           
Vardas6651               Pavarde6651              7.04           7.20           
Vardas6822               Pavarde6822              7.04           7.20           
Vardas6988               Pavarde6988              7.04           7.20           
Vardas7362               Pavarde7362              7.04           7.60           
Vardas7606               Pavarde7606              7.04           7.20           
Vardas7864               Pavarde7864              7.04           6.80           
Vardas8819               Pavarde8819              7.04           7.20           
Vardas8972               Pavarde8972              7.04           7.20           
Vardas8976               Pavarde8976              7.04           6.80           
Vardas9300               Pavarde9300              7.04           7.20           
Vardas9867               Pavarde9867              7.04           7.20           
Vardas9908               Pavarde9908              7.04           7.20           
Vardas9955               Pavarde9955              7.04           6.80           
Vardas157                Pavarde157               7.05           6.60           
Vardas703                Pavarde703               7.05           6.60           
Vardas5732               Pavarde5732              7.05           7.00           
Vardas9326               Pavarde9326              7.05           7.40           
Vardas9799               Pavarde9799              7.05           6.60           
Vardas3449               Pavarde3449              7.05           7.40           
Vardas4132               Pavarde4132              7.05           7.00           
Vardas51                 Pavarde51                7.07           7.60           
Vardas1141               Pavarde1141              7.07           7.20           
Vardas1225               Pavarde1225              7.07           7.20           
Vardas1371               Pavarde1371              7.07           7.20           
Vardas1500               Pavarde1500              7.07           6.80           
Vardas1941               Pavarde1941              7.07           7.20           
Vardas1964               Pavarde1964              7.07           7.60           
Vardas2078               Pavarde2078              7.07           7.20           
Vardas2088               Pavarde2088              7.07           6.80           
Vardas2343               Pavarde2343              7.07           7.20           
Vardas2408               Pavarde2408              7.07           7.20           
Vardas2735               Pavarde2735              7.07           6.80           
Vardas2793               Pavarde2793              7.07           7.20           
Vardas2977               Pavarde2977              7.07           7.60           
Vardas3005               Pavarde3005              7.07           6.80           
Vardas3071               Pavarde3071              7.07           7.20           
Vardas3334               Pavarde3334              7.07           7.20           
Vardas3387               Pavarde3387              7.07           7.60           
Vardas3415               Pavarde3415              7.07           7.20           
Vardas3833               Pavarde3833              7.07           7.20           
Vardas4761               Pavarde4761              7.07           7.60           
Vardas5075               Pavarde5075              7.07           7.20           
Vardas5108               Pavarde5108              7.07           6.80           
Vardas5409               Pavarde5409              7.07           7.20           
Vardas5655               Pavarde5655              7.07           6.80           
Vardas5820               Pavarde5820              7.07           6.80           
Vardas5902               Pavarde5902              7.07           7.20           
Vardas6013               Pavarde6013              7.07           6.80           
Vardas6115               Pavarde6115              7.07           7.20           
Vardas7138               Pavarde7138              7.07           7.20           
Vardas7319               Pavarde7319              7.07           6.80           
Vardas7388               Pavarde7388              7.07           7.20           
Vardas7486               Pavarde7486              7.07           7.60           
Vardas7873               Pavarde7873              7.07           7.20           
Vardas8150               Pavarde8150              7.07           7.60           
Vardas8433               Pavarde8433              7.07           7.20           
Vardas8767               Pavarde8767              7.07           7.60           
Vardas9084               Pavarde9084              7.07           7.60           
Vardas9944               Pavarde9944              7.07           6.80           
Vardas9983               Pavarde9983              7.07           8.00           
Vardas1815               Pavarde1815              7.08           6.60           
Vardas1937               Pavarde1937              7.08           6.60           
Vardas2664               Pavarde2664              7.08           7.80           
Vardas6171               Pavarde6171              7.08           6.60           
Vardas6949               Pavarde6949              7.08           7.00           
Vardas7487               Pavarde7487              7.08           7.00           
Vardas7758               Pavarde7758              7.08           7.00           
Vardas7764               Pavarde7764              7.08           7.00           
Vardas8918               Pavarde8918              7.08           6.60           
Vardas315                Pavarde315               7.09           7.20           
Vardas1416               Pavarde1416              7.09           7.20           
Vardas1560               Pavarde1560              7.09           7.20           
Vardas2022               Pavarde2022              7.09           7.60           
Vardas2303               Pavarde2303              7.09           7.20           
Vardas3081               Pavarde3081              7.09           7.60           
Vardas3324               Pavarde3324              7.09           7.20           
Vardas3474               Pavarde3474              7.09           7.20           
Vardas3503               Pavarde3503              7.09           7.60           
Vardas4965               Pavarde4965              7.09           7.20           
Vardas5053               Pavarde5053              7.09           7.20           
Vardas5228               Pavarde5228              7.09           7.60           
Vardas5953               Pavarde5953              7.09           6.80           
Vardas5962               Pavarde5962              7.09           7.20           
Vardas5985               Pavarde5985              7.09           7.20           
Vardas6059               Pavarde6059              7.09           6.80           
Vardas6298               Pavarde6298              7.09           7.20           
Vardas6340               Pavarde6340              7.09           7.60           
Vardas6367               Pavarde6367              7.09           7.20           
Vardas7403               Pavarde7403              7.09           7.20           
Vardas7580               Pavarde7580              7.09           7.20           
Vardas7896               Pavarde7896              7.09           7.20           
Vardas8073               Pavarde8073              7.09           6.80           
Vardas8484               Pavarde8484              7.09           7.20           
Vardas8497               Pavarde8497              7.09           7.20           
Vardas9262               Pavarde9262              7.09           8.00           
Vardas9422               Pavarde9422              7.09           7.20           
Vardas9680               Pavarde9680              7.09           7.20           
Vardas9700               Pavarde9700              7.09           6.80           
Vardas363                Pavarde363               7.11           6.60           
Vardas1098               Pavarde1098              7.11           6.60           
Vardas3751               Pavarde3751              7.11           7.00           
Vardas6581               Pavarde6581              7.11           7.00           
Vardas7346               Pavarde7346              7.11           7.40           
Vardas7557               Pavarde7557              7.11           6.60           
Vardas8129               Pavarde8129              7.11           7.00           
Vardas8855               Pavarde8855              7.11           6.60           
Vardas1494               Pavarde1494              7.11           7.40           
Vardas80                 Pavarde80                7.12           7.20           
Vardas482                Pavarde482               7.12           7.60           
Vardas623                Pavarde623               7.12           7.60           
Vardas1476               Pavarde1476              7.12           7.20           
Vardas1498               Pavarde1498              7.12           6.80           
Vardas1585               Pavarde1585              7.12           7.20           
Vardas2016               Pavarde2016              7.12           6.80           
Vardas2595               Pavarde2595              7.12           7.20           
Vardas3419               Pavarde3419              7.12           7.20           
Vardas3480               Pavarde3480              7.12           7.20           
Vardas3649               Pavarde3649              7.12           7.20           
Vardas4116               Pavarde4116              7.12           7.20           
Vardas4668               Pavarde4668              7.12           7.60           
Vardas4810               Pavarde4810              7.12           7.20           
Vardas4925               Pavarde4925              7.12           6.80           
Vardas5424               Pavarde5424              7.12           7.20           
Vardas5805               Pavarde5805              7.12           7.20           
Vardas5963               Pavarde5963              7.12           6.80           
Vardas6147               Pavarde6147              7.12           7.20           
Vardas6598               Pavarde6598              7.12           7.20           
Vardas6742               Pavarde6742              7.12           6.80           
Vardas6859               Pavarde6859              7.12           7.60           
Vardas7131               Pavarde7131              7.12           7.20           
Vardas7353               Pavarde7353              7.12           7.60           
Vardas8451               Pavarde8451              7.12           7.20           
Vardas8766               Pavarde8766              7.12           7.20           
Vardas8836               Pavarde8836              7.12           7.20           
Vardas9237               Pavarde9237              7.12           6.80           
Vardas9625               Pavarde9625              7.12           7.60           
Vardas9636               Pavarde9636              7.12           7.20           
Vardas9674               Pavarde9674              7.12           7.60           
Vardas9899               Pavarde9899              7.12           7.20           
Vardas209                Pavarde209               7.13           7.00           
Vardas697                Pavarde697               7.13           7.00           
Vardas1335               Pavarde1335              7.13           7.00           
Vardas2928               Pavarde2928              7.13           6.60           
Vardas3824               Pavarde3824              7.13           7.40           
Vardas4407               Pavarde4407              7.13           7.00           
Vardas4627               Pavarde4627              7.13           7.00           
Vardas6190               Pavarde6190              7.13           7.40           
Vardas8141               Pavarde8141              7.13           7.00           
Vardas9379               Pavarde9379              7.13           7.00           
Vardas927                Pavarde927               7.13           7.00           
Vardas1976               Pavarde1976              7.13           7.40           
Vardas502                Pavarde502               7.15           7.20           
Vardas579                Pavarde579               7.15           7.20           
Vardas940                Pavarde940               7.15           7.60           
Vardas1218               Pavarde1218              7.15           7.20           
Vardas1973               Pavarde1973              7.15           7.20           
Vardas2167               Pavarde2167              7.15           7.20           
Vardas2317               Pavarde2317              7.15           6.80           
Vardas2551               Pavarde2551              7.15           6.80           
Vardas2732               Pavarde2732              7.15           7.20           
Vardas3039               Pavarde3039              7.15           7.20           
Vardas3133               Pavarde3133              7.15           7.20           
Vardas3781               Pavarde3781              7.15           7.20           
Vardas3851               Pavarde3851              7.15           7.20           
Vardas3953               Pavarde3953              7.15           7.20           
Vardas4604               Pavarde4604              7.15           7.20           
Vardas4636               Pavarde4636              7.15           7.20           
Vardas4865               Pavarde4865              7.15           6.80           
Vardas5910               Pavarde5910              7.15           7.20           
Vardas6084               Pavarde6084              7.15           7.60           
Vardas6579               Pavarde6579              7.15           6.80           
Vardas6607               Pavarde6607              7.15           7.20           
Vardas6764               Pavarde6764              7.15           7.60           
Vardas7345               Pavarde7345              7.15           6.80           
Vardas7903               Pavarde7903              7.15           7.20           
Vardas7972               Pavarde7972              7.15           7.20           
Vardas8191               Pavarde8191              7.15           7.20           
Vardas8493               Pavarde8493              7.15           7.60           
Vardas8582               Pavarde8582              7.15           7.60           
Vardas8942               Pavarde8942              7.15           7.20           
Vardas9327               Pavarde9327              7.15           7.60           
Vardas863                Pavarde863               7.16           7.00           
Vardas3209               Pavarde3209              7.16           6.60           
Vardas3527               Pavarde3527              7.16           7.00           
Vardas3692               Pavarde3692              7.16           7.00           
Vardas5143               Pavarde5143              7.16           7.80           
Vardas5487               Pavarde5487              7.16           6.60           
Vardas6575               Pavarde6575              7.16           7.00           
Vardas6979               Pavarde6979              7.16           7.00           
Vardas8453               Pavarde8453              7.16           6.60           
Vardas9042               Pavarde9042              7.16           7.40           
Vardas9468               Pavarde9468              7.16           7.40           
Vardas9565               Pavarde9565              7.16           7.40           
Vardas733                Pavarde733               7.17           7.20           
Vardas1426               Pavarde1426              7.17           7.20           
Vardas1443               Pavarde1443              7.17           7.60           
Vardas2140               Pavarde2140              7.17           7.20           
Vardas2262               Pavarde2262              7.17           6.40           
Vardas2434               Pavarde2434              7.17           6.80           
Vardas2896               Pavarde2896              7.17           6.80           
Vardas2941               Pavarde2941              7.17           7.20           
Vardas3038               Pavarde3038              7.17           7.20           
Vardas3079               Pavarde3079              7.17           7.20           
Vardas3263               Pavarde3263              7.17           7.60           
Vardas3421               Pavarde3421              7.17           7.20           
Vardas3542               Pavarde3542              7.17           7.20           
Vardas3915               Pavarde3915              7.17           7.60           
Vardas4356               Pavarde4356              7.17           7.20           
Vardas4448               Pavarde4448              7.17           6.80           
Vardas4647               Pavarde4647              7.17           7.20           
Vardas4721               Pavarde4721              7.17           7.20           
Vardas5293               Pavarde5293              7.17           7.60           
Vardas6123               Pavarde6123              7.17           7.20           
Vardas6136               Pavarde6136              7.17           7.20           
Vardas6508               Pavarde6508              7.17           7.20           
Vardas6538               Pavarde6538              7.17           7.20           
Vardas6860               Pavarde6860              7.17           7.60           
Vardas6884               Pavarde6884              7.17           7.20           
Vardas7247               Pavarde7247              7.17           6.80           
Vardas7430               Pavarde7430              7.17           7.20           
Vardas7595               Pavarde7595              7.17           7.20           
Vardas7911               Pavarde7911              7.17           7.20           
Vardas8100               Pavarde8100              7.17           7.20           
Vardas8184               Pavarde8184              7.17           6.40           
Vardas8366               Pavarde8366              7.17           6.80           
Vardas8467               Pavarde8467              7.17           7.20           
Vardas8712               Pavarde8712              7.17           7.20           
Vardas9543               Pavarde9543              7.17           7.60           
Vardas1620               Pavarde1620              7.19           6.60           
Vardas2341               Pavarde2341              7.19           7.00           
Vardas2466               Pavarde2466              7.19           7.00           
Vardas5354               Pavarde5354              7.19           7.00           
Vardas5773               Pavarde5773              7.19           7.40           
Vardas6697               Pavarde6697              7.19           7.00           
Vardas8747               Pavarde8747              7.19           7.00           
Vardas9000               Pavarde9000              7.19           7.40           
Vardas9144               Pavarde9144              7.19           7.00           
Vardas9297               Pavarde9297              7.19           7.00           
Vardas9433               Pavarde9433              7.19           7.40           
Vardas6960               Pavarde6960              7.19           7.40           
Vardas92                 Pavarde92                7.20           7.60           
Vardas185                Pavarde185               7.20           7.20           
Vardas1593               Pavarde1593              7.20           7.20           
Vardas1936               Pavarde1936              7.20           7.20           
Vardas2141               Pavarde2141              7.20           7.20           
Vardas2268               Pavarde2268              7.20           7.20           
Vardas2965               Pavarde2965              7.20           7.20           
Vardas3095               Pavarde3095              7.20           7.20           
Vardas3290               Pavarde3290              7.20           7.20           
Vardas3391               Pavarde3391              7.20           7.20           
Vardas3556               Pavarde3556              7.20           7.60           
Vardas3587               Pavarde3587              7.20           7.60           
Vardas3902               Pavarde3902              7.20           7.20           
Vardas4005               Pavarde4005              7.20           7.20           
Vardas4382               Pavarde4382              7.20           6.80           
Vardas4457               Pavarde4457              7.20           6.80           
Vardas4663               Pavarde4663              7.20           7.60           
Vardas4934               Pavarde4934              7.20           7.20           
Vardas5201               Pavarde5201              7.20           7.20           
Vardas5303               Pavarde5303              7.20           6.80           
Vardas5738               Pavarde5738              7.20           6.80           
Vardas5743               Pavarde5743              7.20           6.80           
Vardas6291               Pavarde6291              7.20           7.20           
Vardas6546               Pavarde6546              7.20           7.60           
Vardas6649               Pavarde6649              7.20           7.20           
Vardas6812               Pavarde6812              7.20           7.60           
Vardas6883               Pavarde6883              7.20           7.20           
Vardas6885               Pavarde6885              7.20           7.60           
Vardas7361               Pavarde7361              7.20           7.20           
Vardas7528               Pavarde7528              7.20           7.60           
Vardas7848               Pavarde7848              7.20           7.60           
Vardas7879               Pavarde7879              7.20           7.20           
Vardas7947               Pavarde7947              7.20           8.00           
Vardas8021               Pavarde8021              7.20           7.60           
Vardas8027               Pavarde8027              7.20           7.20           
Vardas8213               Pavarde8213              7.20           6.80           
Vardas8474               Pavarde8474              7.20           7.20           
Vardas8703               Pavarde8703              7.20           7.60           
Vardas9520               Pavarde9520              7.20           7.20           
Vardas9646               Pavarde9646              7.20           7.20           
Vardas87                 Pavarde87                7.21           7.00           
Vardas468                Pavarde468               7.21           7.00           
Vardas1277               Pavarde1277              7.21           7.00           
Vardas1745               Pavarde1745              7.21           7.00           
Vardas2714               Pavarde2714              7.21           7.40           
Vardas3668               Pavarde3668              7.21           7.40           
Vardas3864               Pavarde3864              7.21           7.00           
Vardas5642               Pavarde5642              7.21           7.00           
Vardas5700               Pavarde5700              7.21           7.40           
Vardas6356               Pavarde6356              7.21           7.40           
Vardas6422               Pavarde6422              7.21           7.00           
Vardas6716               Pavarde6716              7.21           6.60           
Vardas7317               Pavarde7317              7.21           7.00           
Vardas8119               Pavarde8119              7.21           7.00           
Vardas186                Pavarde186               7.23           7.20           
Vardas1010               Pavarde1010              7.23           7.20           
Vardas1256               Pavarde1256              7.23           7.20           
Vardas1463               Pavarde1463              7.23           7.60           
Vardas1644               Pavarde1644              7.23           7.20           
Vardas1686               Pavarde1686              7.23           6.80           
Vardas2441               Pavarde2441              7.23           8.00           
Vardas3163               Pavarde3163              7.23           7.60           
Vardas3431               Pavarde3431              7.23           7.60           
Vardas3536               Pavarde3536              7.23           7.20           
Vardas3861               Pavarde3861              7.23           7.60           
Vardas3894               Pavarde3894              7.23           7.60           
Vardas3934               Pavarde3934              7.23           7.60           
Vardas4002               Pavarde4002              7.23           7.60           
Vardas4248               Pavarde4248              7.23           7.20           
Vardas4717               Pavarde4717              7.23           7.20           
Vardas5003               Pavarde5003              7.23           7.20           
Vardas5018               Pavarde5018              7.23           7.20           
Vardas5084               Pavarde5084              7.23           7.60           
Vardas6673               Pavarde6673              7.23           6.80           
Vardas6990               Pavarde6990              7.23           6.80           
Vardas7387               Pavarde7387              7.23           7.60           
Vardas8109               Pavarde8109              7.23           7.60           
Vardas8912               Pavarde8912              7.23           7.60           
Vardas9452               Pavarde9452              7.23           7.20           
Vardas9465               Pavarde9465              7.23           6.80           
Vardas9534               Pavarde9534              7.23           7.20           
Vardas177                Pavarde177               7.24           7.00           
Vardas823                Pavarde823               7.24           6.60           
Vardas2166               Pavarde2166              7.24           7.00           
Vardas2947               Pavarde2947              7.24           7.00           
Vardas2988               Pavarde2988              7.24           7.40           
Vardas3897               Pavarde3897              7.24           7.00           
Vardas4323               Pavarde4323              7.24           6.60           
Vardas4409               Pavarde4409              7.24           7.00           
Vardas5113               Pavarde5113              7.24           7.40           
Vardas5466               Pavarde5466              7.24           7.40           
Vardas5484               Pavarde5484              7.24           7.00           
Vardas6962               Pavarde6962              7.24           7.00           
Vardas9035               Pavarde9035              7.24           6.60           
Vardas9139               Pavarde9139              7.24           7.00           
Vardas3036               Pavarde3036              7.24           7.40           
Vardas285                Pavarde285               7.25           7.60           
Vardas607                Pavarde607               7.25           7.20           
Vardas1285               Pavarde1285              7.25           7.20           
Vardas1827               Pavarde1827              7.25           7.60           
Vardas1910               Pavarde1910              7.25           7.20           
Vardas3653               Pavarde3653              7.25           7.60           
Vardas3663               Pavarde3663              7.25           7.20           
Vardas4235               Pavarde4235              7.25           6.80           
Vardas4494               Pavarde4494              7.25           6.80           
Vardas4605               Pavarde4605              7.25           7.60           
Vardas7261               Pavarde7261              7.25           7.20           
Vardas7358               Pavarde7358              7.25           7.60           
Vardas7569               Pavarde7569              7.25           7.20           
Vardas7831               Pavarde7831              7.25           7.20           
Vardas8506               Pavarde8506              7.25           6.80           
Vardas8705               Pavarde8705              7.25           7.60           
Vardas9640               Pavarde9640              7.25           7.20           
Vardas9696               Pavarde9696              7.25           7.20           
Vardas9770               Pavarde9770              7.25           7.60           
Vardas1357               Pavarde1357              7.27           7.00           
Vardas2411               Pavarde2411              7.27           7.40           
Vardas4227               Pavarde4227              7.27           7.40           
Vardas4983               Pavarde4983              7.27           7.40           
Vardas4987               Pavarde4987              7.27           7.40           
Vardas5472               Pavarde5472              7.27           7.00           
Vardas5901               Pavarde5901              7.27           7.00           
Vardas7026               Pavarde7026              7.27           7.00           
Vardas7283               Pavarde7283              7.27           6.60           
Vardas8204               Pavarde8204              7.27           7.00           
Vardas8636               Pavarde8636              7.27           7.40           
Vardas980                Pavarde980               7.28           7.60           
Vardas1085               Pavarde1085              7.28           6.80           
Vardas1807               Pavarde1807              7.28           7.60           
Vardas1974               Pavarde1974              7.28           7.60           
Vardas2457               Pavarde2457              7.28           7.20           
Vardas3137               Pavarde3137              7.28           7.60           
Vardas3823               Pavarde3823              7.28           7.60           
Vardas3875               Pavarde3875              7.28           7.20           
Vardas4030               Pavarde4030              7.28           6.80           
Vardas4957               Pavarde4957              7.28           6.80           
Vardas5032               Pavarde5032              7.28           7.60           
Vardas5051               Pavarde5051              7.28           7.60           
Vardas7485               Pavarde7485              7.28           7.60           
Vardas7608               Pavarde7608              7.28           7.60           
Vardas7837               Pavarde7837              7.28           8.00           
Vardas8252               Pavarde8252              7.28           7.20           
Vardas8256               Pavarde8256              7.28           7.20           
Vardas9539               Pavarde9539              7.28           7.60           
Vardas9801               Pavarde9801              7.28           7.20           
Vardas5                  Pavarde5                 7.29           7.40           
Vardas606                Pavarde606               7.29           7.00           
Vardas1306               Pavarde1306              7.29           7.40           
Vardas1432               Pavarde1432              7.29           7.00           
Vardas1980               Pavarde1980              7.29           7.00           
Vardas2111               Pavarde2111              7.29           7.00           
Vardas3155               Pavarde3155              7.29           7.00           
Vardas3214               Pavarde3214              7.29           7.40           
Vardas4972               Pavarde4972              7.29           7.00           
Vardas5569               Pavarde5569              7.29           7.00           
Vardas6451               Pavarde6451              7.29           6.60           
Vardas6455               Pavarde6455              7.29           7.40           
Vardas6459               Pavarde6459              7.29           7.40           
Vardas7955               Pavarde7955              7.29           6.60           
Vardas8108               Pavarde8108              7.29           7.40           
Vardas9345               Pavarde9345              7.29           7.40           
Vardas9767               Pavarde9767              7.29           7.00           
Vardas9966               Pavarde9966              7.29           7.00           
Vardas4484               Pavarde4484              7.29           7.80           
Vardas584                Pavarde584               7.31           7.20           
Vardas1126               Pavarde1126              7.31           8.00           
Vardas2120               Pavarde2120              7.31           7.60           
Vardas2248               Pavarde2248              7.31           7.60           
Vardas2427               Pavarde2427              7.31           7.60           
Vardas2654               Pavarde2654              7.31           7.60           
Vardas3381               Pavarde3381              7.31           7.60           
Vardas3499               Pavarde3499              7.31           7.20           
Vardas3661               Pavarde3661              7.31           7.60           
Vardas3697               Pavarde3697              7.31           7.60           
Vardas4733               Pavarde4733              7.31           7.20           
Vardas6695               Pavarde6695              7.31           7.60           
Vardas6848               Pavarde6848              7.31           7.60           
Vardas6933               Pavarde6933              7.31           7.60           
Vardas7257               Pavarde7257              7.31           7.20           
Vardas7645               Pavarde7645              7.31           7.20           
Vardas7834               Pavarde7834              7.31           8.00           
Vardas7910               Pavarde7910              7.31           7.60           
Vardas8140               Pavarde8140              7.31           7.60           
Vardas8446               Pavarde8446              7.31           7.20           
Vardas8755               Pavarde8755              7.31           7.60           
Vardas9313               Pavarde9313              7.31           7.20           
Vardas9386               Pavarde9386              7.31           7.60           
Vardas638                Pavarde638               7.32           7.00           
Vardas1374               Pavarde1374              7.32           7.00           
Vardas1603               Pavarde1603              7.32           7.00           
Vardas1790               Pavarde1790              7.32           7.00           
Vardas2027               Pavarde2027              7.32           7.40           
Vardas2309               Pavarde2309              7.32           6.60           
Vardas3142               Pavarde3142              7.32           7.40           
Vardas3736               Pavarde3736              7.32           7.40           
Vardas4101               Pavarde4101              7.32           7.00           
Vardas4426               Pavarde4426              7.32           7.00           
Vardas5269               Pavarde5269              7.32           7.00           
Vardas6787               Pavarde6787              7.32           7.40           
Vardas6862               Pavarde6862              7.32           7.40           
Vardas6892               Pavarde6892              7.32           7.40           
Vardas7492               Pavarde7492              7.32           7.40           
Vardas8443               Pavarde8443              7.32           7.00           
Vardas9295               Pavarde9295              7.32           7.00           
Vardas9789               Pavarde9789              7.32           6.60           
Vardas9958               Pavarde9958              7.32           7.00           
Vardas831                Pavarde831               7.32           7.40           
Vardas1619               Pavarde1619              7.33           7.60           
Vardas2751               Pavarde2751              7.33           7.60           
Vardas4176               Pavarde4176              7.33           7.60           
Vardas4555               Pavarde4555              7.33           7.60           
Vardas4634               Pavarde4634              7.33           7.60           
Vardas4795               Pavarde4795              7.33           8.00           
Vardas4861               Pavarde4861              7.33           7.60           
Vardas5077               Pavarde5077              7.33           7.20           
Vardas6425               Pavarde6425              7.33           7.60           
Vardas6479               Pavarde6479              7.33           7.20           
Vardas6806               Pavarde6806              7.33           7.20           
Vardas7256               Pavarde7256              7.33           7.20           
Vardas7411               Pavarde7411              7.33           7.60           
Vardas7722               Pavarde7722              7.33           7.20           
Vardas7819               Pavarde7819              7.33           7.60           
Vardas8509               Pavarde8509              7.33           7.20           
Vardas8745               Pavarde8745              7.33           7.60           
Vardas8905               Pavarde8905              7.33           7.60           
Vardas9273               Pavarde9273              7.33           7.20           
Vardas9348               Pavarde9348              7.33           7.20           
Vardas9585               Pavarde9585              7.33           7.60           
Vardas7118               Pavarde7118              7.33           7.20           
Vardas963                Pavarde963               7.35           7.00           
Vardas1771               Pavarde1771              7.35           7.00           
Vardas2200               Pavarde2200              7.35           7.40           
Vardas2271               Pavarde2271              7.35           7.00           
Vardas2272               Pavarde2272              7.35           7.00           
Vardas2719               Pavarde2719              7.35           7.00           
Vardas2960               Pavarde2960              7.35           7.00           
Vardas3343               Pavarde3343              7.35           7.40           
Vardas3413               Pavarde3413              7.35           7.00           
Vardas3705               Pavarde3705              7.35           7.80           
Vardas3791               Pavarde3791              7.35           7.00           
Vardas4041               Pavarde4041              7.35           7.00           
Vardas4536               Pavarde4536              7.35           7.00           
Vardas4900               Pavarde4900              7.35           7.00           
